"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcus_1--__",0.379346117766659,0.344674092009832,0.464739780553435,0.468313711899267,0.404797232795733,0.219118481508252,0.766370035739455,0.575914635539927,0.704890762321243,0.730755643332716,0.642705587907074,0.640156652826814,0.686150856045832,0.826830219367388,0.44460691612634,0.565502779566369,0.942180384632749,0.841957589057259,0.916503932531163,0.778827597714815,0.94877591409675,0.941038520052736,0.924084962929255,0.792202131727337
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Christensenellaceae--g__Christensenellaceae_R-7_group",-0.515198744030039,0.345844388429423,-0.403063798086305,0.424715608136553,-0.477299594607461,0.237532799801373,-0.307700048009145,0.399157648802044,0.60706431563106,0.729877455782531,0.687401859724903,0.671577910188182,0.633780410304385,0.812539958199532,0.758718395924771,0.690322942139284,0.915335264728371,0.841957589057259,0.943128652896191,0.778827597714815,0.94877591409675,0.941038520052736,0.967645755779071,0.863756924793811
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Christensenellaceae",-0.533569120222116,0.346398412613893,-0.424011627244052,0.424441436571558,-0.509132186567611,0.237077478478868,-0.335704036869442,0.411905544174663,0.594316717140033,0.729461841897905,0.672087148495827,0.671777424888828,0.611339755704063,0.812892568661771,0.737542250685812,0.680974075082968,0.915335264728371,0.841957589057259,0.933291324112109,0.778827597714815,0.94877591409675,0.941038520052736,0.967645755779071,0.859324428080888
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Eggerthellaceae--g__Adlercreutzia",-0.0116224248791915,0.353587903008659,0.233786947538401,0.61774596799598,0.570310325685214,0.965598914083712,0.857541361810208,1.19626736639624,0.990740094411594,0.724075791558603,0.815428407939391,0.537564614082051,0.569243022678064,0.335666640052669,0.392452920719019,0.233407247846876,0.993059764925698,0.841957589057259,0.948574476450962,0.777927100784802,0.94877591409675,0.678745012918443,0.917647270504764,0.609038399641483
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Eggerthellaceae--g__Adlercreutzia--s__uncultured_bacterium",-0.0116224248791915,0.353587903008659,0.233786947538401,0.61774596799598,0.570310325685214,0.965598914083712,0.857541361810208,1.19626736639624,0.990740094411594,0.724075791558603,0.815428407939391,0.537564614082051,0.569243022678064,0.335666640052669,0.392452920719019,0.233407247846876,0.993059764925698,0.841957589057259,0.948574476450962,0.777927100784802,0.94877591409675,0.678745012918443,0.917647270504764,0.609038399641483
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Tyzzerella",0.177287768089551,0.368234104144178,0.489690769830569,0.569297615404884,0.82538949872445,0.62473413244702,0.963032717691551,0.767059292674501,0.859487387750677,0.713146276838571,0.624976704543952,0.569901226507753,0.410342250049997,0.533013770258793,0.337012040277473,0.444205589272061,0.993059764925698,0.841957589057259,0.916503932531163,0.778827597714815,0.94877591409675,0.784475665170305,0.903272733944688,0.739985227664106
"d__Bacteria--p__Cyanobacteria--c__Melainabacteria--o__Obscuribacterales",-0.924022161055669,0.377007173908409,-1.03150039432251,0.375171505875993,-0.821166604345225,0.250607179106586,-0.354808601450961,-0.0100421838903085,0.356747108870126,0.706627663530676,0.303754465765578,0.707997845757671,0.412736248889338,0.802431517178183,0.723209139526552,0.992000462011354,0.820280006731947,0.841957589057259,0.694920288585999,0.806965286562506,0.94877591409675,0.941038520052736,0.967645755779071,0.995452655496735
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Tyzzerella--__",0.187822144909312,0.380160648649215,0.499412001128746,0.580907142535686,0.839946554527301,0.635558084948929,0.979327054346417,0.776448721802462,0.851233678500023,0.704289814290455,0.618127378055569,0.562067869242333,0.402153769357738,0.525950334390815,0.328925068476108,0.438659745844763,0.993059764925698,0.841957589057259,0.916503932531163,0.778827597714815,0.94877591409675,0.784475665170305,0.903272733944688,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__",1.01501431791419,0.381959261330548,1.57903309089295,0.845500251028833,1.07009308778767,0.578405525516726,0.825380969723858,0.712126464096126,0.311500267388948,0.702957660212237,0.1161657710609,0.399013100553344,0.286140283592904,0.563783802842253,0.410407718557128,0.477450132044636,0.811943319915454,0.841957589057259,0.514548704953511,0.678535646930286,0.927489762121742,0.784475665170305,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__--__",1.01501431791419,0.381959261330548,1.57903309089295,0.845500251028833,1.07009308778767,0.578405525516726,0.825380969723858,0.712126464096126,0.311500267388948,0.702957660212237,0.1161657710609,0.399013100553344,0.286140283592904,0.563783802842253,0.410407718557128,0.477450132044636,0.811943319915454,0.841957589057259,0.514548704953511,0.678535646930286,0.927489762121742,0.784475665170305,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Negativicutes",0.318318003045804,0.389389063386432,0.173755536728296,0.321497670781152,-0.888631200857943,-0.670662274808537,-0.989606299748659,-0.758296897984874,0.750623287977355,0.697464512881855,0.862261917048469,0.74822591155057,0.375494951813519,0.503379079175093,0.323889289273646,0.449417336050527,0.942180384632749,0.841957589057259,0.969007959568816,0.820468413355453,0.94877591409675,0.773259441270615,0.903272733944688,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales",0.318318003045804,0.389389063386432,0.173755536728296,0.321497670781152,-0.888631200857943,-0.670662274808537,-0.989606299748659,-0.758296897984874,0.750623287977355,0.697464512881855,0.862261917048469,0.74822591155057,0.375494951813519,0.503379079175093,0.323889289273646,0.449417336050527,0.942180384632749,0.841957589057259,0.969007959568816,0.820468413355453,0.94877591409675,0.773259441270615,0.903272733944688,0.739985227664106
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides--s__Parabacteroides_merdae",0.0652540992038086,0.411988277370333,0.101036832529035,0.493646845479277,-0.316317452176327,0.0703537277628067,-0.28331014133359,-0.0171295843630142,0.948046170928945,0.680855105047613,0.919638902378121,0.622189046892164,0.752161371719081,0.943997835082359,0.777312331063901,0.986355125913372,0.993059764925698,0.835953372220621,0.98187369357347,0.778827597714815,0.94877591409675,0.982898660337453,0.969354201091453,0.995452655496735
